Input,Most relevant variable1,Most relevant variable2,Mosr relevant variable3
ARS-AUD,CNY-TRY,KRW-MXN,SAR-MXN
ARS-BRL,CNY-TRY,KRW-MXN,SAR-MXN
ARS-CAD,CNY-TRY,KRW-MXN,SAR-MXN
ARS-CNY,AUD-TRY,KRW-TRY,SAR-MXN
ARS-EUR,CNY-TRY,KRW-MXN,SAR-MXN
ARS-GBP,CNY-TRY,KRW-MXN,SAR-MXN
ARS-IDR,CNY-TRY,KRW-MXN,SAR-MXN
ARS-IND,CNY-TRY,KRW-MXN,SAR-MXN
ARS-JPY,CNY-TRY,KRW-MXN,SAR-MXN
ARS-KRW,AUD-RUB,CNY-TRY,SAR-MXN
ARS-MXN,CNY-TRY,KRW-MXN,KRW-TRY
ARS-RUB,CNY-TRY,KRW-MXN,SAR-MXN
ARS-SAR,CNY-TRY,KRW-MXN,USD-MXN
ARS-TRY,SAR-MXN,AUD-RUB,KRW-MXN
ARS-USD,AUD-RUB,SAR-MXN,KRW-MXN
ARS-ZAR,SAR-MXN,AUD-RUB,KRW-MXN
BRL-ARS,IND-EUR,MXN-EUR,TRY-AUD
BRL-AUD,IND-EUR,MXN-TRY,TRY-CAD
BRL-CAD,ARS-AUD,ARS-JPY,MXN-AUD
BRL-CNY,ARS-AUD,ARS-JPY,MXN-CAD
BRL-EUR,ARS-AUD,ARS-TRY,MXN-CAD
BRL-GBP,ARS-AUD,ARS-TRY,MXN-CAD
BRL-IDR,ARS-IDR,ARS-KRW,MXN-CAD
BRL-IND,ARS-AUD,ARS-MXN,MXN-CAD
BRL-JPY,ARS-AUD,ARS-TRY,MXN-CAD
BRL-KRW,ARS-AUD,ARS-TRY,MXN-CAD
BRL-MXN,ARS-AUD,ARS-TRY,IND-AUD
BRL-RUB,ARS-AUD,ARS-TRY,MXN-CAD
BRL-SAR,ARS-AUD,ARS-TRY,MXN-CAD
BRL-TRY,ARS-AUD,ARS-TRY,MXN-CAD
BRL-USD,ARS-AUD,ARS-TRY,MXN-CAD
BRS-ZAR,ARS-AUD,ARS-TRY,ARS-KRW
AUD-ARS,IND-EUR,MXN-EUR,TRY-EUR
AUD-BRL,ARS-CAD,ARS-EUR,ARS-TRY
AUD-CAD,ARS-EUR,ARS-JPY,ARS-KRW
AUD-CNY,ARS-IDR,ARS-ZAR,ARS-BRL
AUD-EUR,ARS-CAD,ARS-GBP,ARS-RUB
AUD-GBP,CNY-TRY,KRW-MXN,SAR-MXN
AUD-IDR,ARS-CAD,ARS-EUR,ARS-ZAR
AUD-IND,ARS-IDR,ARS-EUR,ARS-ZAR
AUD-JPY,ARS-BRL,ARS-IDR,ARS-GBP
AUD-KRW,SAR-CAD,ARS-EUR,ARS-CAD
AUD-MXN,AUD-RUB,CNY-TRY,KRW-TRY
AUD-RUB,ARS-BRL,ARS-EUR,ARS-ZAR
AUD-SAR,ARS-BRL,ARS-CAD,ARS-ZAR
AUD-TRY,ARS-CAD,ARS-EUR,ARS-BRL
AUD-USD,CNY-TRY,KRW-MXN,SAR-MXN
AUD-ZAR,ARS-BRL,ARS-IDR,ARS-CAD
CAD-ARS,IND-EUR,MXN-EUR,BRL-AUD
CAD-BRL,ARS-JPY,MXN-AUD,ARS-AUD
CAD-CNY,ARS-JPY,ARS-SAR,ARS-USD
CAD-EUR,ARS-KRW,ARS-CNY,ARS-AUD
CAD-GBP,ARS-KRW,ARS-CNY,ARS-AUD
CAD-IDR,ARS-KRW,ARS-CNY,ARS-AUD
CAD-IND,ARS-AUD,ARS-GBP,ARS-KRW
CAD-JPY,ARS-AUD,ARS-CNY,ARS-KRW
CAD-KRW,ARS-GBP,ARS-CNY,ARS-AUD
CAD-MXN,BRL-TRY,IDR-AUD,IND-AUD
CAD-RUB,CNY-TRY,CNY-MXN,CNY-ARS
CAD-SAR,EUR-USD,IDR-BRL,AUD-USD
CAD-USD,EUR-SAR,IDR-BRL,AUD-SAR
CAD-ZAR,IND-CNY,CNY-TRY,CNY-IDR
CAD-TRY,ARS-CNY,ARS-EUR,ARS-KRW
CAD-KRW,IND-CNY,CNY-TRY,CNY-IDR
CNY-ARS,SAR-MXN,SAR-TRY,USD-TRY
CNY-BRL,RUB-GBP,RUB-USD,USD-ZAR
CNY-AUD,CAD-USD,USD-EUR,ZAR-MXN
CNY-CAD,MXN-RUB,USD-GBP,USD-ZAR
CNY-EUR,IND-USD,MXN-RUB,USD-GBP
CNY-GBP,JPY-ZAR,RUB-JPY,ZAR-JPY
CNY-MXN,AUD-RUB,AUD-ZAR,JPY,TRY
CNY-RUB,USD-ARS,USD-MXN,USD-IND
CNY-USD,AUD-IDR,CAD-IND,ZAR-AUD
CNY-ZAR,CAD-RUB,SAR-IND,USD-IDR
CNY-SAR,AUD-IDR,CAD-IND,ZAR-AUD
CNY-TRY,CAD-ARS,CAD-RUB,CAD-ZAR
CNY-KRW,IND-JPY,JPY-GBP,ZAR-JPY
CNY-IND,AUD-ZAR,RUB-JPY,RUB-USD
CNY-IDR,CAD-ZAR,SAR-IND,USD-IND
CNY-JPY,ZAR-GBP,MXN-RUB,KRW-IDR
EUR-AUD,JPY-IND,CAD-IND,CAD-GBP
EUR-IND,AUD-IDR,RUB-ARS,ZAR-AUD
EUR-IDR,MXN-CNY,MXN-CAD,IND-CAD
EUR-ARS,USD-MXN,SAR-MXN,CNY-TRY
EUR-CAD,KRW-GBP,AUD-GBP,IND-BRL
EUR-BRL,RUB-GBP,ARS-GBP,MXN-TRY
EUR-CNY,USD-GBP,RUB-MXN,MXN-RUB
EUR-JPY,USD-GBP,KRW-USD,IDR-GBP
EUR-GBP,CAD-MXN,KRW-AUD,MXN-JPY
EUR-MXN,ARS-BRS,IDR-AUD,RUB-ARS
EUR-RUB,CNY-ARS,USD-MXN,CNY-MXN
EUR-SAR,USD-CAD,USD-AUD,RUB-MXN
EUR-ZAR,CNY-IDR,CNY-TRY,MXN-ARS
EUR-KRW,RUB-MXN,SAR-JPY,MXN-CAD
EUR-TRY,RUB-ARS,RUB-CAD,ZAR-ARS
EUR-USD,RUB-MXN,SAR-CAD,SAR-AUD
USD-ARS,KRW-RUB,SAR-MXN,SAR-TRY
USD-CAD,SAR-AUD,AUD-SAR,EUR-SAR
USD-BRL,RUB-GBP,MXN-TRY,CAD-SAR
USD-CNY,ZAR-AUD,CAD-IND,AUD-IDR
USD-JPY,CAD-KRW,BRL-MXN,AUD-KRW
USD-TRY,IDR-ARS,IND-ARS,MXN-ARS
USD-IND,RUB-SAR,CNY-ZAR,RUB-CNY
USD-IDR,RUB-SAR,CNY-ZAR,CNY-RUB
USD-KRW,CNY-AUS,AUD-JPY,CAD-JPY
USD-ZAR,SAR-RUB,SAR-IND,SAR-IDR
USD-SAR,CAD-CNY,KRW-CNY,IND-IDR
USD-EUR,CNY-AUD.SAR-CAD,SAR-AUD
USD-MXN,EUR-RUB,JPY-ARS,JPY-RUB
USD-CAD,AUD-SAR,EUR-SAR,SAR-AUD
USD-AUD,SAR-CAD,MXN-EUR,ARS-TRY
USD-RUB,SAR-ZAR,CNY-ARS,CNY-BRL
IND-ARS,SAR-MXN,KRW-TRY,EUR-RUB
IND-CAD,IDR-AUD,AUD-IDR,AUD-MXN
IND-BRL,SAR-JPY,CAD-SAR,CAD-GBP
IND-CNY,ZAR-JPY,RUB-JPY,AUD-ZAR
IND-JPY,AUD-GBP,MXN-CNY,CNY-GBP
IND-TRY,ARS-MXN,BRL-CAD,ZAR-ARS
IND-USD,RUB-SAR,CNY-ZAR,RUB-CNY
IND-IDR,AUD-CAD,CAD-AUD,EUR-JPY
IND-KRW,MXN-ARS,AUD-ZAR,AUD-TRY
IND-ZAR,SAR-IDR,CNY-CAD,JPY-CNY
IND-SAR,RUB-USD,CNY-ZAR,RUB-CNY
IND-EUR,MXN-CNY,MXN-CAD,MXN-AUD
IND-MXN,RUB-EUR,EUR-GBP,ARS-ZAR
IND-CAD,AUD-IDR,AUD-MXN,IDR-AUD
IND-AUD,CAD-MXN,CNY-USD,MXN-CAD
IND-RUB,USD-MXN.CNY-BRL,USD-ARS
IDR-ARS,SAR-MXN,KRW-TRY,AUD-RUB
IDR-CAD,BRL-TRY,IND-EUR,TRY-BRL
IDR-BRL,CAD-GBP,CAD-SAR,MXN-TRY
IDR-CNY,ZAR-CAD,RUB-CAD,CAD-ZAR
IDR-JPY,MXN-CNY,SAR-CNY,USD-CNY
IDR-TRY,ZAR-ARS,BRL-AUD,ARS-MXN
IDR-USD,ZAR-SAR,CNY-ZAR,SAR-TRY
IDR-IND,EUR-JPY,CAD-AUD,AUD-CAD
IDR-KRW,EUR-TRY,RUB-CAD,RUB-GBP
IDR-ZAR,IND-USD,IND-SAR,CNY-CAD
IDR-SAR,ZAR-GBP,USD-TRY,CNY-ZAR
IDR-EUR,MXN-GBP,ARS-CNY,MXN-CAD
IDR-MXN,AUD-GBP,CAD-AUD,EUR-GBP
IDR-CAD,TRY-BRL,BRL-TRY,IND-EUR
IDR-AUD,IND-CAD,IND-EUR,MXN-CAD
IDR-RUB,USD-ARS,CNY-CAD,CNY-BRL
RUB-ARS,KRW-MXN,EUR-TRY,AUD-TRY
RUB-AUD,MXN-KRW,CAD-TRY,MXN-CNY
RUB-CAD,MXN-CNY,EUR-TRY,AUD-TRY
RUB-BRL,CAD-GBP,CNY-GBP,USD-CNY
RUB-EUR,MXN-SAR,MXN-CNY,CAD-TRY
RUB-CNY,AUD-ZAR,JPY-ZAR,SAR-IND
RUB-JPY,AUD-BRL,CNY-GBP,MXN-USD
RUB-IND,USD-BRL,USD-ARS,CNY-BRL
RUB-IDR,JPY-BRL,USD-ARS,USD-GBP
RUB-EUR,CAD-TRY,MXN-CNY,MXN-SAR
RUB-USD,CNY-BRL,SAR-IND,SAR-TRY
RUB-KRW,CNY-ARS,MXN-ARS,USD-TRY
RUB-ZAR,KRW-BRL,MXN-IDR,MXN-IND
RUB-SAR,CNY-BRL,USD-IND,USD-TRY
RUB-TRY,ARS-CNY,BRL-CAD,CAD-SAR
RUB-MXN,CNY-CAD,EUR-USD,USD-BRL
GBP-ARS,EUR-RUB,KRW-MXN,KRW-TRY
GBP-CAD,AUD-KRW,BRL-TRY,USD-CNY
GBP-BRL,CAD-EUR,JPY-USD,MXN-TRY
GBP-EUR,CAD-MXN.KRW-AUD,MXN-JPY
GBP-CNY,BRL-RUB,IND-JPY,ZAR-JPY
GBP-JPY,BRL-MXN,KRW-CNY,AUD-EUR
GBP-IND,AUD-BRL,AUD-JPY,KRW-IDR
GBP-EUR,CAD-MXN.KRW-AUD,MXN-JPY
GBP-USD,EUR-CNY,KRW-SAR,RUB-JPY
GBP-KRW,AUD-ARS,EUR-CAD,EUR-CNY
GBP-ZAR,CNY-BRL,SAR-IDR,USD-IDR
GBP-SAR,EUR-CNY,KRW-USD,RUB-JPY
GBP-TRY,AUD-BRL,MXN-ARS,RUB-EUR
GBP-MXN,IDR-EUR,IND-EUR,RUB-EUR
GBP-IDR,CNY-JPY,EUR-ZAR,JPY-CAD
GBP-RUB,CNY-ARS,CNY-BRL,KRW-ZAR
